industry,Total_Industry_Output
111CA_Farms,394395
113FF_Forestry_fishing_and_related_activities,53384
211_Oil_and_gas_extraction,255273
212_Mining_except_oil_and_gas,98029
213_Support_activities_for_mining,63020
22_Utilities,530634
23_Construction,1795933
311FT_Food_and_beverage_and_tobacco_products,1003800
313TT_Textile_mills_and_textile_product_mills,46977
315AL_Apparel_and_leather_and_allied_products,16952
321_Wood_products,122455
322_Paper_products,178193
323_Printing_and_related_support_activities,76436
324_Petroleum_and_coal_products,355259
325_Chemical_products,768669
326_Plastics_and_rubber_products,237497
327_Nonmetallic_mineral_products,135237
331_Primary_metals,198528
332_Fabricated_metal_products,352040
333_Machinery,359909
334_Computer_and_electronic_products,374411
335_Electrical_equipment_appliances_and_components,127261
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,644235
3364OT_Other_transportation_equipment,268143
337_Furniture_and_related_products,73628
339_Miscellaneous_manufacturing,161607
42_Wholesale_trade,2034986
441_Motor_vehicle_and_parts_dealers,307889
445_Food_and_beverage_stores,284117
452_General_merchandise_stores,269334
481_Air_transportation,114987
482_Rail_transportation,74529
483_Water_transportation,38611
484_Truck_transportation,392456
485_Transit_and_ground_passenger_transportation,58462
486_Pipeline_transportation,56294
487OS_Other_transportation_and_support_activities,270711
493_Warehousing_and_storage,154062
4A0_Other_retail,1167628
511_Publishing_industries_except_internet_includes_software,429719
512_Motion_picture_and_sound_recording_industries,144046
513_Broadcasting_and_telecommunications,886743
514_Data_processing_internet_publishing_and_other_information_services,516848
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,1031886
523_Securities_commodity_contracts_and_investments,689892
524_Insurance_carriers_and_related_activities,1315650
525_Funds_trusts_and_other_financial_vehicles,165763
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,366840
5411_Legal_services,381925
5412OP_Miscellaneous_professional_scientific_and_technical_services,1661684
5415_Computer_systems_design_and_related_services,515252
55_Management_of_companies_and_enterprises,678177
561_Administrative_and_support_services,1034106
562_Waste_management_and_remediation_services,114280
61_Educational_services,363566
621_Ambulatory_health_care_services,1116775
622_Hospitals,957759
623_Nursing_and_residential_care_facilities,261882
624_Social_assistance,234857
711AS_Performing_arts_spectator_sports_museums_and_related_activities,136390
713_Amusements_gambling_and_recreation_industries,107812
721_Accommodation,170537
722_Food_services_and_drinking_places,774133
81_Other_services_except_government,710893
GFE_Federal_government_enterprises,88764
GFGD_Federal_general_government_defense,731008
GFGN_Federal_general_government_nondefense,502087
GSLE_State_and_local_government_enterprises,334435
GSLG_State_and_local_general_government,2512574
HS_Housing,2323265
ORE_Other_real_estate,1386453
