industry,T008_Total_Industry_Output
111CA_Farms,31594
113FF_Forestry_fishing_and_related_activities,2886
211_Oil_and_gas_extraction,8229
212_Mining_except_oil_and_gas,8739
213_Support_activities_for_mining,4247
22_Utilities,15424
23_Construction,51604
311FT_Food_and_beverage_and_tobacco_products,58227
313TT_Textile_mills_and_textile_product_mills,14218
315AL_Apparel_and_leather_and_allied_products,17910
321_Wood_products,8450
322_Paper_products,13520
323_Printing_and_related_support_activities,6184
324_Petroleum_and_coal_products,17220
325_Chemical_products,18904
326_Plastics_and_rubber_products,4537
327_Nonmetallic_mineral_products,7284
331_Primary_metals,31122
332_Fabricated_metal_products,23517
333_Machinery,18263
334_Computer_and_electronic_products,9397
335_Electrical_equipment_appliances_and_components,8584
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,32127
3364OT_Other_transportation_equipment,15224
337_Furniture_and_related_products,4565
339_Miscellaneous_manufacturing,8550
42_Wholesale_trade,35895
44RT_Retail_trade,59251
48_Transportation,34137
493_Warehousing_and_storage,1244
51_Information,22544
52_Finance_and_insurance,25725
531_Real_estate,50177
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4326
54_Professional_scientific_and_technical_services,13302
55_Management_of_companies_and_enterprises,9590
56_Administrative_and_waste_management_services,4839
61_Educational_services,3028
62_Health_care_and_social_assistance,11884
71_Arts_entertainment_and_recreation,3909
721_Accommodation,3306
722_Food_services_and_drinking_places,16799
81_Other_services_except_government,18360
GFE_Federal_government_enterprises,3356
GFG_Federal_general_government,49211
GSLE_State_and_local_government_enterprises,3452
GSLG_State_and_local_general_government,26907
