industry,Total_Industry_Output
111CA_Farms,31221
113FF_Forestry_fishing_and_related_activities,2175
211_Oil_and_gas_extraction,5241
212_Mining_except_oil_and_gas,6503
213_Support_activities_for_mining,2374
22_Utilities,8331
23_Construction,35618
311FT_Food_and_beverage_and_tobacco_products,46134
313TT_Textile_mills_and_textile_product_mills,15778
315AL_Apparel_and_leather_and_allied_products,14563
321_Wood_products,6648
322_Paper_products,8126
323_Printing_and_related_support_activities,3582
324_Petroleum_and_coal_products,10538
325_Chemical_products,14175
326_Plastics_and_rubber_products,3234
327_Nonmetallic_mineral_products,5032
331_Primary_metals,16661
332_Fabricated_metal_products,15653
333_Machinery,11024
334_Computer_and_electronic_products,4528
335_Electrical_equipment_appliances_and_components,5460
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,28173
3364OT_Other_transportation_equipment,5180
337_Furniture_and_related_products,3245
339_Miscellaneous_manufacturing,6787
42_Wholesale_trade,24753
44RT_Retail_trade,45390
48_Transportation,27804
493_Warehousing_and_storage,834
51_Information,14532
52_Finance_and_insurance,14213
531_Real_estate,30858
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,2501
54_Professional_scientific_and_technical_services,7233
55_Management_of_companies_and_enterprises,6442
56_Administrative_and_waste_management_services,2666
61_Educational_services,1787
62_Health_care_and_social_assistance,7122
71_Arts_entertainment_and_recreation,2942
721_Accommodation,2350
722_Food_services_and_drinking_places,12021
81_Other_services_except_government,12537
GFE_Federal_government_enterprises,1832
GFG_Federal_general_government,24849
GSLE_State_and_local_government_enterprises,1968
GSLG_State_and_local_general_government,17193
