industry,Total_Industry_Output
111CA_Farms,256245
113FF_Forestry_fishing_and_related_activities,47792
211_Oil_and_gas_extraction,257413
212_Mining_except_oil_and_gas,100825
213_Support_activities_for_mining,86922
22_Utilities,421955
23_Construction,1353620
311FT_Food_and_beverage_and_tobacco_products,667595
313TT_Textile_mills_and_textile_product_mills,71692
315AL_Apparel_and_leather_and_allied_products,39194
321_Wood_products,114562
322_Paper_products,167543
323_Printing_and_related_support_activities,100747
324_Petroleum_and_coal_products,536877
325_Chemical_products,660295
326_Plastics_and_rubber_products,209810
327_Nonmetallic_mineral_products,125807
331_Primary_metals,233123
332_Fabricated_metal_products,316668
333_Machinery,323673
334_Computer_and_electronic_products,425911
335_Electrical_equipment_appliances_and_components,117199
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,525243
3364OT_Other_transportation_equipment,214018
337_Furniture_and_related_products,86381
339_Miscellaneous_manufacturing,156230
42_Wholesale_trade,1196837
441_Motor_vehicle_and_parts_dealers,214647
445_Food_and_beverage_stores,185029
452_General_merchandise_stores,186495
481_Air_transportation,152088
482_Rail_transportation,58115
483_Water_transportation,42416
484_Truck_transportation,272753
485_Transit_and_ground_passenger_transportation,42409
486_Pipeline_transportation,24244
487OS_Other_transportation_and_support_activities,167247
493_Warehousing_and_storage,61495
4A0_Other_retail,715909
511_Publishing_industries_except_internet_includes_software,304475
512_Motion_picture_and_sound_recording_industries,135886
513_Broadcasting_and_telecommunications,634554
514_Data_processing_internet_publishing_and_other_information_services,108943
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,704439
523_Securities_commodity_contracts_and_investments,446925
524_Insurance_carriers_and_related_activities,636032
525_Funds_trusts_and_other_financial_vehicles,97920
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,262503
5411_Legal_services,280968
5412OP_Miscellaneous_professional_scientific_and_technical_services,920604
5415_Computer_systems_design_and_related_services,230453
55_Management_of_companies_and_enterprises,383657
561_Administrative_and_support_services,549378
562_Waste_management_and_remediation_services,73455
61_Educational_services,213485
621_Ambulatory_health_care_services,671753
622_Hospitals,502203
623_Nursing_and_residential_care_facilities,163216
624_Social_assistance,124393
711AS_Performing_arts_spectator_sports_museums_and_related_activities,116430
713_Amusements_gambling_and_recreation_industries,106264
721_Accommodation,187473
722_Food_services_and_drinking_places,502320
81_Other_services_except_government,523411
GFE_Federal_government_enterprises,95384
GFGD_Federal_general_government_defense,522568
GFGN_Federal_general_government_nondefense,283017
GSLE_State_and_local_government_enterprises,211959
GSLG_State_and_local_general_government,1663757
HS_Housing,1429146
ORE_Other_real_estate,900667
