industry,T008_Total_Industry_Output
111CA_Farms,51782
113FF_Forestry_fishing_and_related_activities,7723
211_Oil_and_gas_extraction,14230
212_Mining_except_oil_and_gas,12643
213_Support_activities_for_mining,3024
22_Utilities,33014
23_Construction,108462
311FT_Food_and_beverage_and_tobacco_products,106024
313TT_Textile_mills_and_textile_product_mills,24467
315AL_Apparel_and_leather_and_allied_products,29499
321_Wood_products,13225
322_Paper_products,25143
323_Printing_and_related_support_activities,12254
324_Petroleum_and_coal_products,23952
325_Chemical_products,47527
326_Plastics_and_rubber_products,15781
327_Nonmetallic_mineral_products,16128
331_Primary_metals,49333
332_Fabricated_metal_products,45686
333_Machinery,45552
334_Computer_and_electronic_products,39811
335_Electrical_equipment_appliances_and_components,23057
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,57542
3364OT_Other_transportation_equipment,35339
337_Furniture_and_related_products,9130
339_Miscellaneous_manufacturing,14876
42_Wholesale_trade,83723
44RT_Retail_trade,118276
481_Air_transportation,10814
482_Rail_transportation,14303
483_Water_transportation,4700
484_Truck_transportation,21660
485_Transit_and_ground_passenger_transportation,6077
486_Pipeline_transportation,2875
487OS_Other_transportation_and_support_activities,11464
493_Warehousing_and_storage,2961
511_Publishing_industries_except_internet_includes_software,17073
512_Motion_picture_and_sound_recording_industries,7084
513_Broadcasting_and_telecommunications,35334
514_Data_processing_internet_publishing_and_other_information_services,2872
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,40328
523_Securities_commodity_contracts_and_investments,4820
524_Insurance_carriers_and_related_activities,32259
525_Funds_trusts_and_other_financial_vehicles,3675
531_Real_estate,123252
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,10813
5411_Legal_services,13056
5412OP_Miscellaneous_professional_scientific_and_technical_services,28976
5415_Computer_systems_design_and_related_services,4166
55_Management_of_companies_and_enterprises,21321
561_Administrative_and_support_services,12114
562_Waste_management_and_remediation_services,4364
61_Educational_services,12828
621_Ambulatory_health_care_services,22518
622HO_Hospitals_and_nursing_and_residential_care_facilities,23455
624_Social_assistance,2757
711AS_Performing_arts_spectator_sports_museums_and_related_activities,5353
713_Amusements_gambling_and_recreation_industries,4770
721_Accommodation,10283
722_Food_services_and_drinking_places,37497
81_Other_services_except_government,43930
GFE_Federal_government_enterprises,9872
GFG_Federal_general_government,107743
GSLE_State_and_local_government_enterprises,12761
GSLG_State_and_local_general_government,105649
