industry,Total_Industry_Output
111CA_Farms,304793
113FF_Forestry_fishing_and_related_activities,44560
211_Oil_and_gas_extraction,276911
212_Mining_except_oil_and_gas,104498
213_Support_activities_for_mining,94915
22_Utilities,451593
23_Construction,1339134
311FT_Food_and_beverage_and_tobacco_products,720552
313TT_Textile_mills_and_textile_product_mills,64401
315AL_Apparel_and_leather_and_allied_products,29848
321_Wood_products,103303
322_Paper_products,174225
323_Printing_and_related_support_activities,103514
324_Petroleum_and_coal_products,606412
325_Chemical_products,728663
326_Plastics_and_rubber_products,206223
327_Nonmetallic_mineral_products,128465
331_Primary_metals,256349
332_Fabricated_metal_products,342761
333_Machinery,346832
334_Computer_and_electronic_products,444345
335_Electrical_equipment_appliances_and_components,126282
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,512787
3364OT_Other_transportation_equipment,263612
337_Furniture_and_related_products,85636
339_Miscellaneous_manufacturing,159152
42_Wholesale_trade,1270853
441_Motor_vehicle_and_parts_dealers,215797
445_Food_and_beverage_stores,188189
452_General_merchandise_stores,198425
481_Air_transportation,160672
482_Rail_transportation,60665
483_Water_transportation,47592
484_Truck_transportation,279027
485_Transit_and_ground_passenger_transportation,44961
486_Pipeline_transportation,25741
487OS_Other_transportation_and_support_activities,178484
493_Warehousing_and_storage,69036
4A0_Other_retail,731552
511_Publishing_industries_except_internet_includes_software,311030
512_Motion_picture_and_sound_recording_industries,137057
513_Broadcasting_and_telecommunications,654186
514_Data_processing_internet_publishing_and_other_information_services,118475
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,717423
523_Securities_commodity_contracts_and_investments,501538
524_Insurance_carriers_and_related_activities,691789
525_Funds_trusts_and_other_financial_vehicles,114337
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,270095
5411_Legal_services,290423
5412OP_Miscellaneous_professional_scientific_and_technical_services,997142
5415_Computer_systems_design_and_related_services,256941
55_Management_of_companies_and_enterprises,433424
561_Administrative_and_support_services,588906
562_Waste_management_and_remediation_services,76525
61_Educational_services,236613
621_Ambulatory_health_care_services,707877
622_Hospitals,530009
623_Nursing_and_residential_care_facilities,172632
624_Social_assistance,133994
711AS_Performing_arts_spectator_sports_museums_and_related_activities,126641
713_Amusements_gambling_and_recreation_industries,114868
721_Accommodation,192793
722_Food_services_and_drinking_places,521602
81_Other_services_except_government,534333
GFE_Federal_government_enterprises,99384
GFGD_Federal_general_government_defense,549977
GFGN_Federal_general_government_nondefense,291129
GSLE_State_and_local_government_enterprises,223361
GSLG_State_and_local_general_government,1768728
HS_Housing,1505887
ORE_Other_real_estate,885160
