industry,T008_Total_Industry_Output
111CA_Farms,35741
113FF_Forestry_fishing_and_related_activities,2481
211_Oil_and_gas_extraction,6267
212_Mining_except_oil_and_gas,7123
213_Support_activities_for_mining,3189
22_Utilities,10370
23_Construction,39339
311FT_Food_and_beverage_and_tobacco_products,51388
313TT_Textile_mills_and_textile_product_mills,15030
315AL_Apparel_and_leather_and_allied_products,15378
321_Wood_products,7656
322_Paper_products,9655
323_Printing_and_related_support_activities,4083
324_Petroleum_and_coal_products,13534
325_Chemical_products,16437
326_Plastics_and_rubber_products,3854
327_Nonmetallic_mineral_products,5514
331_Primary_metals,18198
332_Fabricated_metal_products,21426
333_Machinery,15335
334_Computer_and_electronic_products,6574
335_Electrical_equipment_appliances_and_components,6926
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,22321
3364OT_Other_transportation_equipment,11492
337_Furniture_and_related_products,3538
339_Miscellaneous_manufacturing,7288
42_Wholesale_trade,27234
44RT_Retail_trade,50491
48_Transportation,32188
493_Warehousing_and_storage,1041
51_Information,17306
52_Finance_and_insurance,17106
531_Real_estate,37947
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3047
54_Professional_scientific_and_technical_services,9152
55_Management_of_companies_and_enterprises,7816
56_Administrative_and_waste_management_services,3392
61_Educational_services,2138
62_Health_care_and_social_assistance,8473
71_Arts_entertainment_and_recreation,3104
721_Accommodation,2702
722_Food_services_and_drinking_places,14688
81_Other_services_except_government,14136
GFE_Federal_government_enterprises,2726
GFG_Federal_general_government,48916
GSLE_State_and_local_government_enterprises,2518
GSLG_State_and_local_general_government,19717
