industry,T008_Total_Industry_Output
111CA_Farms,94384
113FF_Forestry_fishing_and_related_activities,13780
211_Oil_and_gas_extraction,31801
212_Mining_except_oil_and_gas,27791
213_Support_activities_for_mining,8012
22_Utilities,63322
23_Construction,160754
311FT_Food_and_beverage_and_tobacco_products,178098
313TT_Textile_mills_and_textile_product_mills,34507
315AL_Apparel_and_leather_and_allied_products,35729
321_Wood_products,22569
322_Paper_products,41483
323_Printing_and_related_support_activities,18576
324_Petroleum_and_coal_products,66495
325_Chemical_products,87909
326_Plastics_and_rubber_products,28015
327_Nonmetallic_mineral_products,25833
331_Primary_metals,77116
332_Fabricated_metal_products,72694
333_Machinery,77708
334_Computer_and_electronic_products,54355
335_Electrical_equipment_appliances_and_components,31079
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,86956
3364OT_Other_transportation_equipment,50581
337_Furniture_and_related_products,13046
339_Miscellaneous_manufacturing,22630
42_Wholesale_trade,136074
44RT_Retail_trade,166679
481_Air_transportation,18149
482_Rail_transportation,19930
483_Water_transportation,7860
484_Truck_transportation,31558
485_Transit_and_ground_passenger_transportation,8437
486_Pipeline_transportation,5230
487OS_Other_transportation_and_support_activities,18169
493_Warehousing_and_storage,4417
511_Publishing_industries_except_internet_includes_software,24859
512_Motion_picture_and_sound_recording_industries,11282
513_Broadcasting_and_telecommunications,60722
514_Data_processing_internet_publishing_and_other_information_services,5604
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,70288
523_Securities_commodity_contracts_and_investments,7161
524_Insurance_carriers_and_related_activities,50143
525_Funds_trusts_and_other_financial_vehicles,6719
531_Real_estate,195016
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,17666
5411_Legal_services,21029
5412OP_Miscellaneous_professional_scientific_and_technical_services,45967
5415_Computer_systems_design_and_related_services,6790
55_Management_of_companies_and_enterprises,33012
561_Administrative_and_support_services,20674
562_Waste_management_and_remediation_services,6617
61_Educational_services,19506
621_Ambulatory_health_care_services,38408
622HO_Hospitals_and_nursing_and_residential_care_facilities,46021
624_Social_assistance,5577
711AS_Performing_arts_spectator_sports_museums_and_related_activities,8272
713_Amusements_gambling_and_recreation_industries,8523
721_Accommodation,15818
722_Food_services_and_drinking_places,60541
81_Other_services_except_government,61399
GFE_Federal_government_enterprises,14913
GFG_Federal_general_government,142301
GSLE_State_and_local_government_enterprises,20284
GSLG_State_and_local_general_government,188483
