industry,T008_Total_Industry_Output
111CA_Farms,35716
113FF_Forestry_fishing_and_related_activities,3283
211_Oil_and_gas_extraction,8850
212_Mining_except_oil_and_gas,7530
213_Support_activities_for_mining,3115
22_Utilities,20150
23_Construction,58204
311FT_Food_and_beverage_and_tobacco_products,71328
313TT_Textile_mills_and_textile_product_mills,15784
315AL_Apparel_and_leather_and_allied_products,20313
321_Wood_products,7574
322_Paper_products,14480
323_Printing_and_related_support_activities,10186
324_Petroleum_and_coal_products,17644
325_Chemical_products,25178
326_Plastics_and_rubber_products,7905
327_Nonmetallic_mineral_products,10196
331_Primary_metals,29478
332_Fabricated_metal_products,24073
333_Machinery,20757
334_Computer_and_electronic_products,17493
335_Electrical_equipment_appliances_and_components,11388
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,40312
3364OT_Other_transportation_equipment,18531
337_Furniture_and_related_products,5709
339_Miscellaneous_manufacturing,8427
42_Wholesale_trade,41159
44RT_Retail_trade,70358
48_Transportation,36750
493_Warehousing_and_storage,1455
51_Information,28920
52_Finance_and_insurance,33554
531_Real_estate,62797
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5777
54_Professional_scientific_and_technical_services,18388
55_Management_of_companies_and_enterprises,11296
56_Administrative_and_waste_management_services,6517
61_Educational_services,4553
62_Health_care_and_social_assistance,17135
71_Arts_entertainment_and_recreation,4771
721_Accommodation,3880
722_Food_services_and_drinking_places,19216
81_Other_services_except_government,23873
GFE_Federal_government_enterprises,4736
GFG_Federal_general_government,53681
GSLE_State_and_local_government_enterprises,5135
GSLG_State_and_local_general_government,38402
