industry,Total_Industry_Output
111CA_Farms,36409
113FF_Forestry_fishing_and_related_activities,2480
211_Oil_and_gas_extraction,6040
212_Mining_except_oil_and_gas,7376
213_Support_activities_for_mining,2812
22_Utilities,9370
23_Construction,37759
311FT_Food_and_beverage_and_tobacco_products,50719
313TT_Textile_mills_and_textile_product_mills,16619
315AL_Apparel_and_leather_and_allied_products,15396
321_Wood_products,7805
322_Paper_products,10401
323_Printing_and_related_support_activities,3741
324_Petroleum_and_coal_products,12934
325_Chemical_products,16616
326_Plastics_and_rubber_products,4056
327_Nonmetallic_mineral_products,5674
331_Primary_metals,19455
332_Fabricated_metal_products,20276
333_Machinery,14015
334_Computer_and_electronic_products,5231
335_Electrical_equipment_appliances_and_components,6700
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,24883
3364OT_Other_transportation_equipment,8000
337_Furniture_and_related_products,3502
339_Miscellaneous_manufacturing,7074
42_Wholesale_trade,27070
44RT_Retail_trade,48504
48_Transportation,31033
493_Warehousing_and_storage,965
51_Information,15850
52_Finance_and_insurance,16080
531_Real_estate,34364
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,2799
54_Professional_scientific_and_technical_services,8326
55_Management_of_companies_and_enterprises,7425
56_Administrative_and_waste_management_services,3088
61_Educational_services,1929
62_Health_care_and_social_assistance,7664
71_Arts_entertainment_and_recreation,2994
721_Accommodation,2554
722_Food_services_and_drinking_places,13748
81_Other_services_except_government,13520
GFE_Federal_government_enterprises,1769
GFG_Federal_general_government,38853
GSLE_State_and_local_government_enterprises,2226
GSLG_State_and_local_general_government,18484
