industry,Total_Industry_Output
111CA_Farms,297682
113FF_Forestry_fishing_and_related_activities,41302
211_Oil_and_gas_extraction,227565
212_Mining_except_oil_and_gas,104933
213_Support_activities_for_mining,72392
22_Utilities,436451
23_Construction,1098960
311FT_Food_and_beverage_and_tobacco_products,772599
313TT_Textile_mills_and_textile_product_mills,46290
315AL_Apparel_and_leather_and_allied_products,24392
321_Wood_products,65912
322_Paper_products,160533
323_Printing_and_related_support_activities,84045
324_Petroleum_and_coal_products,482370
325_Chemical_products,620935
326_Plastics_and_rubber_products,167778
327_Nonmetallic_mineral_products,89972
331_Primary_metals,167124
332_Fabricated_metal_products,280212
333_Machinery,285237
334_Computer_and_electronic_products,350156
335_Electrical_equipment_appliances_and_components,102687
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,342438
3364OT_Other_transportation_equipment,248003
337_Furniture_and_related_products,59513
339_Miscellaneous_manufacturing,160375
42_Wholesale_trade,1154752
441_Motor_vehicle_and_parts_dealers,147800
445_Food_and_beverage_stores,190728
452_General_merchandise_stores,207333
481_Air_transportation,146637
482_Rail_transportation,54710
483_Water_transportation,43314
484_Truck_transportation,231357
485_Transit_and_ground_passenger_transportation,44933
486_Pipeline_transportation,27305
487OS_Other_transportation_and_support_activities,154934
493_Warehousing_and_storage,78611
4A0_Other_retail,661853
511_Publishing_industries_except_internet_includes_software,288324
512_Motion_picture_and_sound_recording_industries,123112
513_Broadcasting_and_telecommunications,664869
514_Data_processing_internet_publishing_and_other_information_services,143353
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,700179
523_Securities_commodity_contracts_and_investments,436254
524_Insurance_carriers_and_related_activities,645369
525_Funds_trusts_and_other_financial_vehicles,99886
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,250913
5411_Legal_services,279853
5412OP_Miscellaneous_professional_scientific_and_technical_services,1000062
5415_Computer_systems_design_and_related_services,279662
55_Management_of_companies_and_enterprises,400165
561_Administrative_and_support_services,559026
562_Waste_management_and_remediation_services,74836
61_Educational_services,273524
621_Ambulatory_health_care_services,773438
622_Hospitals,611047
623_Nursing_and_residential_care_facilities,186589
624_Social_assistance,153415
711AS_Performing_arts_spectator_sports_museums_and_related_activities,133255
713_Amusements_gambling_and_recreation_industries,110844
721_Accommodation,181937
722_Food_services_and_drinking_places,529139
81_Other_services_except_government,521593
GFE_Federal_government_enterprises,97147
GFGD_Federal_general_government_defense,637328
GFGN_Federal_general_government_nondefense,344427
GSLE_State_and_local_government_enterprises,256452
GSLG_State_and_local_general_government,1891274
HS_Housing,1616849
ORE_Other_real_estate,756404
