industry,T008_Total_Industry_Output
111CA_Farms,147055
113FF_Forestry_fishing_and_related_activities,28046
211_Oil_and_gas_extraction,75629
212_Mining_except_oil_and_gas,43768
213_Support_activities_for_mining,14570
22_Utilities,183104
23_Construction,493853
311FT_Food_and_beverage_and_tobacco_products,348074
313TT_Textile_mills_and_textile_product_mills,67660
315AL_Apparel_and_leather_and_allied_products,66546
321_Wood_products,54442
322_Paper_products,104141
323_Printing_and_related_support_activities,66379
324_Petroleum_and_coal_products,130052
325_Chemical_products,241717
326_Plastics_and_rubber_products,88617
327_Nonmetallic_mineral_products,61256
331_Primary_metals,110178
332_Fabricated_metal_products,148435
333_Machinery,150673
334_Computer_and_electronic_products,224993
335_Electrical_equipment_appliances_and_components,72296
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,245648
3364OT_Other_transportation_equipment,131703
337_Furniture_and_related_products,41466
339_Miscellaneous_manufacturing,58364
42_Wholesale_trade,412007
44RT_Retail_trade,514321
481_Air_transportation,67415
482_Rail_transportation,31927
483_Water_transportation,15725
484_Truck_transportation,80393
485_Transit_and_ground_passenger_transportation,15535
486_Pipeline_transportation,18852
487OS_Other_transportation_and_support_activities,43683
493_Warehousing_and_storage,12123
511_Publishing_industries_except_internet_includes_software,89003
512_Motion_picture_and_sound_recording_industries,38369
513_Broadcasting_and_telecommunications,203446
514_Data_processing_internet_publishing_and_other_information_services,19915
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,225809
523_Securities_commodity_contracts_and_investments,71036
524_Insurance_carriers_and_related_activities,195370
525_Funds_trusts_and_other_financial_vehicles,35423
531_Real_estate,662350
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,66584
5411_Legal_services,81372
5412OP_Miscellaneous_professional_scientific_and_technical_services,224734
5415_Computer_systems_design_and_related_services,26586
55_Management_of_companies_and_enterprises,104542
561_Administrative_and_support_services,110775
562_Waste_management_and_remediation_services,20050
61_Educational_services,56669
621_Ambulatory_health_care_services,170631
622HO_Hospitals_and_nursing_and_residential_care_facilities,185042
624_Social_assistance,26600
711AS_Performing_arts_spectator_sports_museums_and_related_activities,23115
713_Amusements_gambling_and_recreation_industries,26279
721_Accommodation,61209
722_Food_services_and_drinking_places,176548
81_Other_services_except_government,190449
GFE_Federal_government_enterprises,44654
GFG_Federal_general_government,371260
GSLE_State_and_local_government_enterprises,69569
GSLG_State_and_local_general_government,519465
