industry,Total_Industry_Output
111CA_Farms,202363
113FF_Forestry_fishing_and_related_activities,39509
211_Oil_and_gas_extraction,116721
212_Mining_except_oil_and_gas,54442
213_Support_activities_for_mining,24831
22_Utilities,325154
23_Construction,969697
311FT_Food_and_beverage_and_tobacco_products,568695
313TT_Textile_mills_and_textile_product_mills,75379
315AL_Apparel_and_leather_and_allied_products,50868
321_Wood_products,90172
322_Paper_products,152466
323_Printing_and_related_support_activities,99721
324_Petroleum_and_coal_products,214238
325_Chemical_products,471418
326_Plastics_and_rubber_products,173411
327_Nonmetallic_mineral_products,95253
331_Primary_metals,139163
332_Fabricated_metal_products,246866
333_Machinery,246792
334_Computer_and_electronic_products,390169
335_Electrical_equipment_appliances_and_components,100858
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,476661
3364OT_Other_transportation_equipment,175760
337_Furniture_and_related_products,75622
339_Miscellaneous_manufacturing,127030
42_Wholesale_trade,891879
441_Motor_vehicle_and_parts_dealers,208890
445_Food_and_beverage_stores,153932
452_General_merchandise_stores,139482
481_Air_transportation,111351
482_Rail_transportation,40488
483_Water_transportation,25962
484_Truck_transportation,203133
485_Transit_and_ground_passenger_transportation,27447
486_Pipeline_transportation,22150
487OS_Other_transportation_and_support_activities,125242
493_Warehousing_and_storage,39693
4A0_Other_retail,542998
511_Publishing_industries_except_internet_includes_software,264640
512_Motion_picture_and_sound_recording_industries,122585
513_Broadcasting_and_telecommunications,576711
514_Data_processing_internet_publishing_and_other_information_services,81174
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,581916
523_Securities_commodity_contracts_and_investments,286399
524_Insurance_carriers_and_related_activities,462013
525_Funds_trusts_and_other_financial_vehicles,71405
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,201909
5411_Legal_services,212020
5412OP_Miscellaneous_professional_scientific_and_technical_services,710826
5415_Computer_systems_design_and_related_services,199741
55_Management_of_companies_and_enterprises,261756
561_Administrative_and_support_services,414373
562_Waste_management_and_remediation_services,53468
61_Educational_services,166198
621_Ambulatory_health_care_services,529560
622_Hospitals,382358
623_Nursing_and_residential_care_facilities,128413
624_Social_assistance,100507
711AS_Performing_arts_spectator_sports_museums_and_related_activities,90975
713_Amusements_gambling_and_recreation_industries,76293
721_Accommodation,147634
722_Food_services_and_drinking_places,405537
81_Other_services_except_government,458249
GFE_Federal_government_enterprises,87238
GFGD_Federal_general_government_defense,374582
GFGN_Federal_general_government_nondefense,217788
GSLE_State_and_local_government_enterprises,160503
GSLG_State_and_local_general_government,1375495
HS_Housing,1148850
ORE_Other_real_estate,583811
