industry,Total_Industry_Output
111CA_Farms,219380
113FF_Forestry_fishing_and_related_activities,38502
211_Oil_and_gas_extraction,98509
212_Mining_except_oil_and_gas,56243
213_Support_activities_for_mining,22119
22_Utilities,261979
23_Construction,709092
311FT_Food_and_beverage_and_tobacco_products,531838
313TT_Textile_mills_and_textile_product_mills,89136
315AL_Apparel_and_leather_and_allied_products,87190
321_Wood_products,88806
322_Paper_products,149242
323_Printing_and_related_support_activities,98356
324_Petroleum_and_coal_products,175722
325_Chemical_products,417629
326_Plastics_and_rubber_products,159031
327_Nonmetallic_mineral_products,85860
331_Primary_metals,168286
332_Fabricated_metal_products,243943
333_Machinery,269765
334_Computer_and_electronic_products,461129
335_Electrical_equipment_appliances_and_components,111103
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,430955
3364OT_Other_transportation_equipment,155596
337_Furniture_and_related_products,63576
339_Miscellaneous_manufacturing,110808
42_Wholesale_trade,747153
441_Motor_vehicle_and_parts_dealers,174686
445_Food_and_beverage_stores,129441
452_General_merchandise_stores,116484
481_Air_transportation,114332
482_Rail_transportation,38152
483_Water_transportation,24757
484_Truck_transportation,162011
485_Transit_and_ground_passenger_transportation,24274
486_Pipeline_transportation,24251
487OS_Other_transportation_and_support_activities,85242
493_Warehousing_and_storage,26342
4A0_Other_retail,436671
511_Publishing_industries_except_internet_includes_software,190768
512_Motion_picture_and_sound_recording_industries,89500
513_Broadcasting_and_telecommunications,404143
514_Data_processing_internet_publishing_and_other_information_services,46187
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,393815
523_Securities_commodity_contracts_and_investments,205979
524_Insurance_carriers_and_related_activities,349963
525_Funds_trusts_and_other_financial_vehicles,56145
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,149887
5411_Legal_services,155643
5412OP_Miscellaneous_professional_scientific_and_technical_services,520307
5415_Computer_systems_design_and_related_services,123875
55_Management_of_companies_and_enterprises,195164
561_Administrative_and_support_services,308911
562_Waste_management_and_remediation_services,41969
61_Educational_services,113120
621_Ambulatory_health_care_services,388193
622_Hospitals,271305
623_Nursing_and_residential_care_facilities,95206
624_Social_assistance,61576
711AS_Performing_arts_spectator_sports_museums_and_related_activities,59313
713_Amusements_gambling_and_recreation_industries,68065
721_Accommodation,116482
722_Food_services_and_drinking_places,306965
81_Other_services_except_government,352032
GFE_Federal_government_enterprises,76409
GFGD_Federal_general_government_defense,304866
GFGN_Federal_general_government_nondefense,160267
GSLE_State_and_local_government_enterprises,130099
GSLG_State_and_local_general_government,993509
HS_Housing,857869
ORE_Other_real_estate,398195
