industry,T008_Total_Industry_Output
111CA_Farms,31813
113FF_Forestry_fishing_and_related_activities,2658
211_Oil_and_gas_extraction,9071
212_Mining_except_oil_and_gas,7951
213_Support_activities_for_mining,4146
22_Utilities,16585
23_Construction,52701
311FT_Food_and_beverage_and_tobacco_products,58800
313TT_Textile_mills_and_textile_product_mills,13489
315AL_Apparel_and_leather_and_allied_products,17890
321_Wood_products,7616
322_Paper_products,13094
323_Printing_and_related_support_activities,6511
324_Petroleum_and_coal_products,18339
325_Chemical_products,19353
326_Plastics_and_rubber_products,5592
327_Nonmetallic_mineral_products,7144
331_Primary_metals,28151
332_Fabricated_metal_products,24357
333_Machinery,18196
334_Computer_and_electronic_products,11971
335_Electrical_equipment_appliances_and_components,8458
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,34859
3364OT_Other_transportation_equipment,18015
337_Furniture_and_related_products,4551
339_Miscellaneous_manufacturing,8558
42_Wholesale_trade,36227
44RT_Retail_trade,62686
48_Transportation,34855
493_Warehousing_and_storage,1306
51_Information,24297
52_Finance_and_insurance,27057
531_Real_estate,53160
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4649
54_Professional_scientific_and_technical_services,14811
55_Management_of_companies_and_enterprises,10079
56_Administrative_and_waste_management_services,5304
61_Educational_services,3317
62_Health_care_and_social_assistance,12985
71_Arts_entertainment_and_recreation,3802
721_Accommodation,3570
722_Food_services_and_drinking_places,17516
81_Other_services_except_government,19661
GFE_Federal_government_enterprises,3803
GFG_Federal_general_government,53290
GSLE_State_and_local_government_enterprises,3643
GSLG_State_and_local_general_government,29604
