industry,Total_Industry_Output
111CA_Farms,380317
113FF_Forestry_fishing_and_related_activities,49176
211_Oil_and_gas_extraction,372942
212_Mining_except_oil_and_gas,130879
213_Support_activities_for_mining,97965
22_Utilities,484889
23_Construction,1020485
311FT_Food_and_beverage_and_tobacco_products,855975
313TT_Textile_mills_and_textile_product_mills,52875
315AL_Apparel_and_leather_and_allied_products,24900
321_Wood_products,72994
322_Paper_products,175584
323_Printing_and_related_support_activities,84243
324_Petroleum_and_coal_products,816949
325_Chemical_products,782301
326_Plastics_and_rubber_products,201011
327_Nonmetallic_mineral_products,94064
331_Primary_metals,281505
332_Fabricated_metal_products,326787
333_Machinery,369088
334_Computer_and_electronic_products,361661
335_Electrical_equipment_appliances_and_components,117823
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,498798
3364OT_Other_transportation_equipment,258785
337_Furniture_and_related_products,57264
339_Miscellaneous_manufacturing,162007
42_Wholesale_trade,1530787
441_Motor_vehicle_and_parts_dealers,198780
445_Food_and_beverage_stores,203793
452_General_merchandise_stores,212388
481_Air_transportation,194219
482_Rail_transportation,75816
483_Water_transportation,49526
484_Truck_transportation,278367
485_Transit_and_ground_passenger_transportation,49239
486_Pipeline_transportation,34988
487OS_Other_transportation_and_support_activities,179053
493_Warehousing_and_storage,97611
4A0_Other_retail,720969
511_Publishing_industries_except_internet_includes_software,298101
512_Motion_picture_and_sound_recording_industries,128331
513_Broadcasting_and_telecommunications,709654
514_Data_processing_internet_publishing_and_other_information_services,188651
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,693076
523_Securities_commodity_contracts_and_investments,452234
524_Insurance_carriers_and_related_activities,725442
525_Funds_trusts_and_other_financial_vehicles,113817
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,284725
5411_Legal_services,297749
5412OP_Miscellaneous_professional_scientific_and_technical_services,1082121
5415_Computer_systems_design_and_related_services,330931
55_Management_of_companies_and_enterprises,446492
561_Administrative_and_support_services,628101
562_Waste_management_and_remediation_services,83194
61_Educational_services,306453
621_Ambulatory_health_care_services,833752
622_Hospitals,667845
623_Nursing_and_residential_care_facilities,201868
624_Social_assistance,164374
711AS_Performing_arts_spectator_sports_museums_and_related_activities,136600
713_Amusements_gambling_and_recreation_industries,115549
721_Accommodation,198741
722_Food_services_and_drinking_places,579153
81_Other_services_except_government,548882
GFE_Federal_government_enterprises,93773
GFGD_Federal_general_government_defense,688109
GFGN_Federal_general_government_nondefense,366865
GSLE_State_and_local_government_enterprises,286515
GSLG_State_and_local_general_government,1928682
HS_Housing,1686044
ORE_Other_real_estate,823269
