industry,T008_Total_Industry_Output
111CA_Farms,91988
113FF_Forestry_fishing_and_related_activities,14597
211_Oil_and_gas_extraction,27588
212_Mining_except_oil_and_gas,23674
213_Support_activities_for_mining,5865
22_Utilities,52607
23_Construction,163790
311FT_Food_and_beverage_and_tobacco_products,168492
313TT_Textile_mills_and_textile_product_mills,36243
315AL_Apparel_and_leather_and_allied_products,34947
321_Wood_products,24334
322_Paper_products,40331
323_Printing_and_related_support_activities,17582
324_Petroleum_and_coal_products,55688
325_Chemical_products,81635
326_Plastics_and_rubber_products,28362
327_Nonmetallic_mineral_products,25075
331_Primary_metals,89659
332_Fabricated_metal_products,70462
333_Machinery,74241
334_Computer_and_electronic_products,55132
335_Electrical_equipment_appliances_and_components,33624
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,86994
3364OT_Other_transportation_equipment,46073
337_Furniture_and_related_products,13894
339_Miscellaneous_manufacturing,21676
42_Wholesale_trade,128685
44RT_Retail_trade,168207
481_Air_transportation,17804
482_Rail_transportation,20150
483_Water_transportation,7199
484_Truck_transportation,30079
485_Transit_and_ground_passenger_transportation,7859
486_Pipeline_transportation,4352
487OS_Other_transportation_and_support_activities,17459
493_Warehousing_and_storage,4253
511_Publishing_industries_except_internet_includes_software,22959
512_Motion_picture_and_sound_recording_industries,10119
513_Broadcasting_and_telecommunications,53403
514_Data_processing_internet_publishing_and_other_information_services,5016
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,58144
523_Securities_commodity_contracts_and_investments,5237
524_Insurance_carriers_and_related_activities,45660
525_Funds_trusts_and_other_financial_vehicles,5906
531_Real_estate,177579
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,16615
5411_Legal_services,20239
5412OP_Miscellaneous_professional_scientific_and_technical_services,42299
5415_Computer_systems_design_and_related_services,5539
55_Management_of_companies_and_enterprises,29951
561_Administrative_and_support_services,19138
562_Waste_management_and_remediation_services,6067
61_Educational_services,17688
621_Ambulatory_health_care_services,33124
622HO_Hospitals_and_nursing_and_residential_care_facilities,39127
624_Social_assistance,4834
711AS_Performing_arts_spectator_sports_museums_and_related_activities,7524
713_Amusements_gambling_and_recreation_industries,7385
721_Accommodation,14436
722_Food_services_and_drinking_places,53861
81_Other_services_except_government,55298
GFE_Federal_government_enterprises,14769
GFG_Federal_general_government,131690
GSLE_State_and_local_government_enterprises,18211
GSLG_State_and_local_general_government,165334
