industry,Total_Industry_Output
111CA_Farms,320921
113FF_Forestry_fishing_and_related_activities,45657
211_Oil_and_gas_extraction,304701
212_Mining_except_oil_and_gas,112693
213_Support_activities_for_mining,82696
22_Utilities,494486
23_Construction,1016651
311FT_Food_and_beverage_and_tobacco_products,800318
313TT_Textile_mills_and_textile_product_mills,49826
315AL_Apparel_and_leather_and_allied_products,23271
321_Wood_products,71907
322_Paper_products,169406
323_Printing_and_related_support_activities,83798
324_Petroleum_and_coal_products,607722
325_Chemical_products,715654
326_Plastics_and_rubber_products,186612
327_Nonmetallic_mineral_products,92358
331_Primary_metals,235705
332_Fabricated_metal_products,295618
333_Machinery,318689
334_Computer_and_electronic_products,358838
335_Electrical_equipment_appliances_and_components,108567
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,434597
3364OT_Other_transportation_equipment,249006
337_Furniture_and_related_products,57266
339_Miscellaneous_manufacturing,159687
42_Wholesale_trade,1359199
441_Motor_vehicle_and_parts_dealers,196860
445_Food_and_beverage_stores,197147
452_General_merchandise_stores,215053
481_Air_transportation,163474
482_Rail_transportation,66432
483_Water_transportation,47456
484_Truck_transportation,251530
485_Transit_and_ground_passenger_transportation,45138
486_Pipeline_transportation,31190
487OS_Other_transportation_and_support_activities,165672
493_Warehousing_and_storage,88469
4A0_Other_retail,690596
511_Publishing_industries_except_internet_includes_software,289213
512_Motion_picture_and_sound_recording_industries,129789
513_Broadcasting_and_telecommunications,687338
514_Data_processing_internet_publishing_and_other_information_services,162530
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,691925
523_Securities_commodity_contracts_and_investments,454393
524_Insurance_carriers_and_related_activities,660134
525_Funds_trusts_and_other_financial_vehicles,108976
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,268525
5411_Legal_services,285994
5412OP_Miscellaneous_professional_scientific_and_technical_services,1026939
5415_Computer_systems_design_and_related_services,305029
55_Management_of_companies_and_enterprises,422154
561_Administrative_and_support_services,589673
562_Waste_management_and_remediation_services,82437
61_Educational_services,292901
621_Ambulatory_health_care_services,803224
622_Hospitals,636893
623_Nursing_and_residential_care_facilities,195721
624_Social_assistance,162586
711AS_Performing_arts_spectator_sports_museums_and_related_activities,134045
713_Amusements_gambling_and_recreation_industries,111860
721_Accommodation,185668
722_Food_services_and_drinking_places,547653
81_Other_services_except_government,534955
GFE_Federal_government_enterprises,96591
GFGD_Federal_general_government_defense,675588
GFGN_Federal_general_government_nondefense,373781
GSLE_State_and_local_government_enterprises,273201
GSLG_State_and_local_general_government,1916858
HS_Housing,1650913
ORE_Other_real_estate,803339
