industry,Total_Industry_Output
111CA_Farms,182577
113FF_Forestry_fishing_and_related_activities,34504
211_Oil_and_gas_extraction,76828
212_Mining_except_oil_and_gas,52462
213_Support_activities_for_mining,15913
22_Utilities,226927
23_Construction,515095
311FT_Food_and_beverage_and_tobacco_products,445178
313TT_Textile_mills_and_textile_product_mills,76783
315AL_Apparel_and_leather_and_allied_products,74612
321_Wood_products,61968
322_Paper_products,126246
323_Printing_and_related_support_activities,81360
324_Petroleum_and_coal_products,148421
325_Chemical_products,323178
326_Plastics_and_rubber_products,114649
327_Nonmetallic_mineral_products,62169
331_Primary_metals,125238
332_Fabricated_metal_products,174566
333_Machinery,181635
334_Computer_and_electronic_products,278684
335_Electrical_equipment_appliances_and_components,83018
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,283000
3364OT_Other_transportation_equipment,154575
337_Furniture_and_related_products,46196
339_Miscellaneous_manufacturing,80861
42_Wholesale_trade,537779
44RT_Retail_trade,629937
481_Air_transportation,82995
482_Rail_transportation,35175
483_Water_transportation,19100
484_Truck_transportation,118037
485_Transit_and_ground_passenger_transportation,19830
486_Pipeline_transportation,20250
487OS_Other_transportation_and_support_activities,63679
493_Warehousing_and_storage,17170
511_Publishing_industries_except_internet_includes_software,117202
512_Motion_picture_and_sound_recording_industries,55793
513_Broadcasting_and_telecommunications,259360
514_Data_processing_internet_publishing_and_other_information_services,31557
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,275490
523_Securities_commodity_contracts_and_investments,89073
524_Insurance_carriers_and_related_activities,281314
525_Funds_trusts_and_other_financial_vehicles,32772
531_Real_estate,942017
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,97552
5411_Legal_services,124511
5412OP_Miscellaneous_professional_scientific_and_technical_services,337940
5415_Computer_systems_design_and_related_services,40520
55_Management_of_companies_and_enterprises,138304
561_Administrative_and_support_services,182541
562_Waste_management_and_remediation_services,30950
61_Educational_services,84475
621_Ambulatory_health_care_services,292503
622HO_Hospitals_and_nursing_and_residential_care_facilities,301482
624_Social_assistance,42151
711AS_Performing_arts_spectator_sports_museums_and_related_activities,37010
713_Amusements_gambling_and_recreation_industries,44526
721_Accommodation,82471
722_Food_services_and_drinking_places,239602
81_Other_services_except_government,266947
GFE_Federal_government_enterprises,60917
GFG_Federal_general_government,458997
GSLE_State_and_local_government_enterprises,93295
GSLG_State_and_local_general_government,769178
