industry,Total_Industry_Output
111CA_Farms,147668
113FF_Forestry_fishing_and_related_activities,24839
211_Oil_and_gas_extraction,117763
212_Mining_except_oil_and_gas,44871
213_Support_activities_for_mining,30634
22_Utilities,177176
23_Construction,431991
311FT_Food_and_beverage_and_tobacco_products,317065
313TT_Textile_mills_and_textile_product_mills,56401
315AL_Apparel_and_leather_and_allied_products,59823
321_Wood_products,42594
322_Paper_products,91393
323_Printing_and_related_support_activities,54818
324_Petroleum_and_coal_products,170689
325_Chemical_products,205233
326_Plastics_and_rubber_products,74115
327_Nonmetallic_mineral_products,52597
331_Primary_metals,106636
332_Fabricated_metal_products,144095
333_Machinery,145117
334_Computer_and_electronic_products,208503
335_Electrical_equipment_appliances_and_components,66702
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,231204
3364OT_Other_transportation_equipment,118517
337_Furniture_and_related_products,34179
339_Miscellaneous_manufacturing,48447
42_Wholesale_trade,363819
44RT_Retail_trade,439963
481_Air_transportation,53776
482_Rail_transportation,33003
483_Water_transportation,16253
484_Truck_transportation,68640
485_Transit_and_ground_passenger_transportation,15211
486_Pipeline_transportation,20302
487OS_Other_transportation_and_support_activities,40154
493_Warehousing_and_storage,10607
511_Publishing_industries_except_internet_includes_software,70100
512_Motion_picture_and_sound_recording_industries,32988
513_Broadcasting_and_telecommunications,181963
514_Data_processing_internet_publishing_and_other_information_services,20571
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,191406
523_Securities_commodity_contracts_and_investments,48535
524_Insurance_carriers_and_related_activities,190574
525_Funds_trusts_and_other_financial_vehicles,23653
531_Real_estate,560258
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,59900
5411_Legal_services,64709
5412OP_Miscellaneous_professional_scientific_and_technical_services,181404
5415_Computer_systems_design_and_related_services,25348
55_Management_of_companies_and_enterprises,93985
561_Administrative_and_support_services,88719
562_Waste_management_and_remediation_services,17525
61_Educational_services,49450
621_Ambulatory_health_care_services,132097
622HO_Hospitals_and_nursing_and_residential_care_facilities,157909
624_Social_assistance,21198
711AS_Performing_arts_spectator_sports_museums_and_related_activities,21229
713_Amusements_gambling_and_recreation_industries,23578
721_Accommodation,50556
722_Food_services_and_drinking_places,149317
81_Other_services_except_government,161621
GFE_Federal_government_enterprises,40752
GFG_Federal_general_government,339048
GSLE_State_and_local_government_enterprises,63558
GSLG_State_and_local_general_government,448958
