industry,Total_Industry_Output
111CA_Farms,327859
113FF_Forestry_fishing_and_related_activities,44787
211_Oil_and_gas_extraction,388364
212_Mining_except_oil_and_gas,116162
213_Support_activities_for_mining,110033
22_Utilities,524896
23_Construction,1275777
311FT_Food_and_beverage_and_tobacco_products,778632
313TT_Textile_mills_and_textile_product_mills,56518
315AL_Apparel_and_leather_and_allied_products,26693
321_Wood_products,89111
322_Paper_products,177371
323_Printing_and_related_support_activities,99166
324_Petroleum_and_coal_products,733568
325_Chemical_products,735772
326_Plastics_and_rubber_products,198943
327_Nonmetallic_mineral_products,114427
331_Primary_metals,280342
332_Fabricated_metal_products,357772
333_Machinery,353921
334_Computer_and_electronic_products,423208
335_Electrical_equipment_appliances_and_components,126921
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,424825
3364OT_Other_transportation_equipment,269271
337_Furniture_and_related_products,76952
339_Miscellaneous_manufacturing,169588
42_Wholesale_trade,1327125
441_Motor_vehicle_and_parts_dealers,184484
445_Food_and_beverage_stores,194115
452_General_merchandise_stores,200652
481_Air_transportation,170930
482_Rail_transportation,68392
483_Water_transportation,51378
484_Truck_transportation,283670
485_Transit_and_ground_passenger_transportation,45094
486_Pipeline_transportation,31245
487OS_Other_transportation_and_support_activities,177782
493_Warehousing_and_storage,76898
4A0_Other_retail,697985
511_Publishing_industries_except_internet_includes_software,312921
512_Motion_picture_and_sound_recording_industries,131082
513_Broadcasting_and_telecommunications,672762
514_Data_processing_internet_publishing_and_other_information_services,138186
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,701000
523_Securities_commodity_contracts_and_investments,457314
524_Insurance_carriers_and_related_activities,715905
525_Funds_trusts_and_other_financial_vehicles,118345
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,289531
5411_Legal_services,292145
5412OP_Miscellaneous_professional_scientific_and_technical_services,1050191
5415_Computer_systems_design_and_related_services,281934
55_Management_of_companies_and_enterprises,432647
561_Administrative_and_support_services,602711
562_Waste_management_and_remediation_services,79531
61_Educational_services,257307
621_Ambulatory_health_care_services,745514
622_Hospitals,569343
623_Nursing_and_residential_care_facilities,181412
624_Social_assistance,145314
711AS_Performing_arts_spectator_sports_museums_and_related_activities,131771
713_Amusements_gambling_and_recreation_industries,115763
721_Accommodation,197994
722_Food_services_and_drinking_places,532891
81_Other_services_except_government,550537
GFE_Federal_government_enterprises,100823
GFGD_Federal_general_government_defense,606077
GFGN_Federal_general_government_nondefense,316549
GSLE_State_and_local_government_enterprises,240463
GSLG_State_and_local_general_government,1857128
HS_Housing,1593855
ORE_Other_real_estate,813946
