industry,T008_Total_Industry_Output
111CA_Farms,197496
113FF_Forestry_fishing_and_related_activities,40246
211_Oil_and_gas_extraction,72931
212_Mining_except_oil_and_gas,53941
213_Support_activities_for_mining,16380
22_Utilities,242143
23_Construction,587748
311FT_Food_and_beverage_and_tobacco_products,468259
313TT_Textile_mills_and_textile_product_mills,84933
315AL_Apparel_and_leather_and_allied_products,81505
321_Wood_products,79876
322_Paper_products,135964
323_Printing_and_related_support_activities,85613
324_Petroleum_and_coal_products,142220
325_Chemical_products,352787
326_Plastics_and_rubber_products,135305
327_Nonmetallic_mineral_products,70678
331_Primary_metals,145295
332_Fabricated_metal_products,200242
333_Machinery,220070
334_Computer_and_electronic_products,330852
335_Electrical_equipment_appliances_and_components,97056
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,374495
3364OT_Other_transportation_equipment,133584
337_Furniture_and_related_products,52518
339_Miscellaneous_manufacturing,91555
42_Wholesale_trade,635539
44RT_Retail_trade,741055
481_Air_transportation,95510
482_Rail_transportation,37088
483_Water_transportation,20745
484_Truck_transportation,137860
485_Transit_and_ground_passenger_transportation,20772
486_Pipeline_transportation,22525
487OS_Other_transportation_and_support_activities,72080
493_Warehousing_and_storage,20321
511_Publishing_industries_except_internet_includes_software,139924
512_Motion_picture_and_sound_recording_industries,68489
513_Broadcasting_and_telecommunications,298155
514_Data_processing_internet_publishing_and_other_information_services,37863
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,306613
523_Securities_commodity_contracts_and_investments,107698
524_Insurance_carriers_and_related_activities,323224
525_Funds_trusts_and_other_financial_vehicles,38264
531_Real_estate,1062573
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,116261
5411_Legal_services,132583
5412OP_Miscellaneous_professional_scientific_and_technical_services,377069
5415_Computer_systems_design_and_related_services,63010
55_Management_of_companies_and_enterprises,158321
561_Administrative_and_support_services,217450
562_Waste_management_and_remediation_services,36291
61_Educational_services,94344
621_Ambulatory_health_care_services,328373
622HO_Hospitals_and_nursing_and_residential_care_facilities,324285
624_Social_assistance,48505
711AS_Performing_arts_spectator_sports_museums_and_related_activities,45709
713_Amusements_gambling_and_recreation_industries,51637
721_Accommodation,94814
722_Food_services_and_drinking_places,266851
81_Other_services_except_government,299023
GFE_Federal_government_enterprises,65924
GFG_Federal_general_government,458701
GSLE_State_and_local_government_enterprises,110034
GSLG_State_and_local_general_government,857666
