industry,T008_Total_Industry_Output
111CA_Farms,38111
113FF_Forestry_fishing_and_related_activities,3799
211_Oil_and_gas_extraction,9411
212_Mining_except_oil_and_gas,7448
213_Support_activities_for_mining,2680
22_Utilities,21853
23_Construction,62794
311FT_Food_and_beverage_and_tobacco_products,76558
313TT_Textile_mills_and_textile_product_mills,17207
315AL_Apparel_and_leather_and_allied_products,21080
321_Wood_products,7415
322_Paper_products,15490
323_Printing_and_related_support_activities,10221
324_Petroleum_and_coal_products,17446
325_Chemical_products,28534
326_Plastics_and_rubber_products,8567
327_Nonmetallic_mineral_products,10951
331_Primary_metals,31239
332_Fabricated_metal_products,24823
333_Machinery,23292
334_Computer_and_electronic_products,21072
335_Electrical_equipment_appliances_and_components,13165
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,42667
3364OT_Other_transportation_equipment,20668
337_Furniture_and_related_products,6064
339_Miscellaneous_manufacturing,9103
42_Wholesale_trade,44954
44RT_Retail_trade,76830
48_Transportation,40233
493_Warehousing_and_storage,1664
51_Information,32240
52_Finance_and_insurance,39073
531_Real_estate,69090
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,6685
54_Professional_scientific_and_technical_services,22189
55_Management_of_companies_and_enterprises,12571
56_Administrative_and_waste_management_services,7471
61_Educational_services,5488
62_Health_care_and_social_assistance,19964
71_Arts_entertainment_and_recreation,5719
721_Accommodation,4262
722_Food_services_and_drinking_places,20507
81_Other_services_except_government,26732
GFE_Federal_government_enterprises,5078
GFG_Federal_general_government,62082
GSLE_State_and_local_government_enterprises,6328
GSLG_State_and_local_general_government,44708
