industry,T008_Total_Industry_Output
111CA_Farms,139187
113FF_Forestry_fishing_and_related_activities,26517
211_Oil_and_gas_extraction,69731
212_Mining_except_oil_and_gas,43043
213_Support_activities_for_mining,17362
22_Utilities,160708
23_Construction,465574
311FT_Food_and_beverage_and_tobacco_products,324088
313TT_Textile_mills_and_textile_product_mills,58533
315AL_Apparel_and_leather_and_allied_products,59675
321_Wood_products,45422
322_Paper_products,95873
323_Printing_and_related_support_activities,57839
324_Petroleum_and_coal_products,119474
325_Chemical_products,202400
326_Plastics_and_rubber_products,76662
327_Nonmetallic_mineral_products,54861
331_Primary_metals,101618
332_Fabricated_metal_products,143351
333_Machinery,141487
334_Computer_and_electronic_products,207199
335_Electrical_equipment_appliances_and_components,68046
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,234903
3364OT_Other_transportation_equipment,129748
337_Furniture_and_related_products,36165
339_Miscellaneous_manufacturing,49782
42_Wholesale_trade,378853
44RT_Retail_trade,458117
481_Air_transportation,58003
482_Rail_transportation,31229
483_Water_transportation,16263
484_Truck_transportation,71208
485_Transit_and_ground_passenger_transportation,15467
486_Pipeline_transportation,19821
487OS_Other_transportation_and_support_activities,41489
493_Warehousing_and_storage,11668
511_Publishing_industries_except_internet_includes_software,78619
512_Motion_picture_and_sound_recording_industries,36594
513_Broadcasting_and_telecommunications,196314
514_Data_processing_internet_publishing_and_other_information_services,21542
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,214956
523_Securities_commodity_contracts_and_investments,62574
524_Insurance_carriers_and_related_activities,182876
525_Funds_trusts_and_other_financial_vehicles,26118
531_Real_estate,611959
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,63990
5411_Legal_services,71937
5412OP_Miscellaneous_professional_scientific_and_technical_services,200662
5415_Computer_systems_design_and_related_services,27324
55_Management_of_companies_and_enterprises,101621
561_Administrative_and_support_services,98588
562_Waste_management_and_remediation_services,18599
61_Educational_services,53192
621_Ambulatory_health_care_services,147424
622HO_Hospitals_and_nursing_and_residential_care_facilities,170683
624_Social_assistance,23626
711AS_Performing_arts_spectator_sports_museums_and_related_activities,21968
713_Amusements_gambling_and_recreation_industries,24770
721_Accommodation,53752
722_Food_services_and_drinking_places,160813
81_Other_services_except_government,173378
GFE_Federal_government_enterprises,42624
GFG_Federal_general_government,359353
GSLE_State_and_local_government_enterprises,69394
GSLG_State_and_local_general_government,484389
