industry,Total_Industry_Output
111CA_Farms,436934
113FF_Forestry_fishing_and_related_activities,49312
211_Oil_and_gas_extraction,426372
212_Mining_except_oil_and_gas,114553
213_Support_activities_for_mining,122511
22_Utilities,491663
23_Construction,1155700
311FT_Food_and_beverage_and_tobacco_products,920008
313TT_Textile_mills_and_textile_product_mills,54016
315AL_Apparel_and_leather_and_allied_products,19552
321_Wood_products,90579
322_Paper_products,183815
323_Printing_and_related_support_activities,83330
324_Petroleum_and_coal_products,833756
325_Chemical_products,830853
326_Plastics_and_rubber_products,224486
327_Nonmetallic_mineral_products,106304
331_Primary_metals,263236
332_Fabricated_metal_products,350553
333_Machinery,396978
334_Computer_and_electronic_products,352567
335_Electrical_equipment_appliances_and_components,123537
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,565638
3364OT_Other_transportation_equipment,306188
337_Furniture_and_related_products,67298
339_Miscellaneous_manufacturing,167538
42_Wholesale_trade,1734795
441_Motor_vehicle_and_parts_dealers,235849
445_Food_and_beverage_stores,210668
452_General_merchandise_stores,216710
481_Air_transportation,201273
482_Rail_transportation,82412
483_Water_transportation,50646
484_Truck_transportation,307384
485_Transit_and_ground_passenger_transportation,55597
486_Pipeline_transportation,38768
487OS_Other_transportation_and_support_activities,194933
493_Warehousing_and_storage,112877
4A0_Other_retail,816793
511_Publishing_industries_except_internet_includes_software,308803
512_Motion_picture_and_sound_recording_industries,135195
513_Broadcasting_and_telecommunications,752312
514_Data_processing_internet_publishing_and_other_information_services,241147
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,786287
523_Securities_commodity_contracts_and_investments,518632
524_Insurance_carriers_and_related_activities,850730
525_Funds_trusts_and_other_financial_vehicles,138735
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,317567
5411_Legal_services,309179
5412OP_Miscellaneous_professional_scientific_and_technical_services,1152756
5415_Computer_systems_design_and_related_services,358785
55_Management_of_companies_and_enterprises,498995
561_Administrative_and_support_services,690314
562_Waste_management_and_remediation_services,85080
61_Educational_services,319778
621_Ambulatory_health_care_services,874752
622_Hospitals,732911
623_Nursing_and_residential_care_facilities,213892
624_Social_assistance,172710
711AS_Performing_arts_spectator_sports_museums_and_related_activities,149519
713_Amusements_gambling_and_recreation_industries,124552
721_Accommodation,225962
722_Food_services_and_drinking_places,639380
81_Other_services_except_government,584488
GFE_Federal_government_enterprises,93199
GFGD_Federal_general_government_defense,637602
GFGN_Federal_general_government_nondefense,366849
GSLE_State_and_local_government_enterprises,309506
GSLG_State_and_local_general_government,2019862
HS_Housing,1781293
ORE_Other_real_estate,963360
