industry,Total_Industry_Output
111CA_Farms,227873
113FF_Forestry_fishing_and_related_activities,41426
211_Oil_and_gas_extraction,165982
212_Mining_except_oil_and_gas,57394
213_Support_activities_for_mining,29534
22_Utilities,343152
23_Construction,1039480
311FT_Food_and_beverage_and_tobacco_products,599752
313TT_Textile_mills_and_textile_product_mills,72318
315AL_Apparel_and_leather_and_allied_products,44902
321_Wood_products,92669
322_Paper_products,148736
323_Printing_and_related_support_activities,95442
324_Petroleum_and_coal_products,245974
325_Chemical_products,491627
326_Plastics_and_rubber_products,176195
327_Nonmetallic_mineral_products,96544
331_Primary_metals,137676
332_Fabricated_metal_products,244276
333_Machinery,250129
334_Computer_and_electronic_products,387809
335_Electrical_equipment_appliances_and_components,97939
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,487881
3364OT_Other_transportation_equipment,172063
337_Furniture_and_related_products,75271
339_Miscellaneous_manufacturing,131827
42_Wholesale_trade,929221
441_Motor_vehicle_and_parts_dealers,211281
445_Food_and_beverage_stores,159015
452_General_merchandise_stores,157142
481_Air_transportation,121989
482_Rail_transportation,41448
483_Water_transportation,30155
484_Truck_transportation,208887
485_Transit_and_ground_passenger_transportation,28073
486_Pipeline_transportation,22355
487OS_Other_transportation_and_support_activities,130048
493_Warehousing_and_storage,45257
4A0_Other_retail,580569
511_Publishing_industries_except_internet_includes_software,261726
512_Motion_picture_and_sound_recording_industries,130593
513_Broadcasting_and_telecommunications,574113
514_Data_processing_internet_publishing_and_other_information_services,82551
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,614305
523_Securities_commodity_contracts_and_investments,307988
524_Insurance_carriers_and_related_activities,506927
525_Funds_trusts_and_other_financial_vehicles,70258
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,218934
5411_Legal_services,238963
5412OP_Miscellaneous_professional_scientific_and_technical_services,734914
5415_Computer_systems_design_and_related_services,197725
55_Management_of_companies_and_enterprises,280575
561_Administrative_and_support_services,434705
562_Waste_management_and_remediation_services,57302
61_Educational_services,176555
621_Ambulatory_health_care_services,566791
622_Hospitals,408908
623_Nursing_and_residential_care_facilities,137369
624_Social_assistance,106389
711AS_Performing_arts_spectator_sports_museums_and_related_activities,97438
713_Amusements_gambling_and_recreation_industries,83017
721_Accommodation,151249
722_Food_services_and_drinking_places,426274
81_Other_services_except_government,468779
GFE_Federal_government_enterprises,86948
GFGD_Federal_general_government_defense,428318
GFGN_Federal_general_government_nondefense,236785
GSLE_State_and_local_government_enterprises,170456
GSLG_State_and_local_general_government,1420041
HS_Housing,1193844
ORE_Other_real_estate,647961
