industry,Total_Industry_Output
111CA_Farms,395379
113FF_Forestry_fishing_and_related_activities,57006
211_Oil_and_gas_extraction,305097
212_Mining_except_oil_and_gas,105504
213_Support_activities_for_mining,87745
22_Utilities,511269
23_Construction,1570262
311FT_Food_and_beverage_and_tobacco_products,941416
313TT_Textile_mills_and_textile_product_mills,50162
315AL_Apparel_and_leather_and_allied_products,17378
321_Wood_products,111892
322_Paper_products,182317
323_Printing_and_related_support_activities,83111
324_Petroleum_and_coal_products,536275
325_Chemical_products,791408
326_Plastics_and_rubber_products,236483
327_Nonmetallic_mineral_products,126704
331_Primary_metals,222742
332_Fabricated_metal_products,343802
333_Machinery,364463
334_Computer_and_electronic_products,352993
335_Electrical_equipment_appliances_and_components,121637
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,678976
3364OT_Other_transportation_equipment,338874
337_Furniture_and_related_products,74040
339_Miscellaneous_manufacturing,158806
42_Wholesale_trade,1960895
441_Motor_vehicle_and_parts_dealers,304451
445_Food_and_beverage_stores,243193
452_General_merchandise_stores,234065
481_Air_transportation,222740
482_Rail_transportation,78784
483_Water_transportation,53294
484_Truck_transportation,356935
485_Transit_and_ground_passenger_transportation,76159
486_Pipeline_transportation,47146
487OS_Other_transportation_and_support_activities,231124
493_Warehousing_and_storage,138749
4A0_Other_retail,995842
511_Publishing_industries_except_internet_includes_software,369583
512_Motion_picture_and_sound_recording_industries,150267
513_Broadcasting_and_telecommunications,857135
514_Data_processing_internet_publishing_and_other_information_services,367819
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,942469
523_Securities_commodity_contracts_and_investments,592278
524_Insurance_carriers_and_related_activities,1137682
525_Funds_trusts_and_other_financial_vehicles,155795
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,338532
5411_Legal_services,358680
5412OP_Miscellaneous_professional_scientific_and_technical_services,1412883
5415_Computer_systems_design_and_related_services,438637
55_Management_of_companies_and_enterprises,602634
561_Administrative_and_support_services,937346
562_Waste_management_and_remediation_services,102615
61_Educational_services,364218
621_Ambulatory_health_care_services,1063361
622_Hospitals,879248
623_Nursing_and_residential_care_facilities,245186
624_Social_assistance,209751
711AS_Performing_arts_spectator_sports_museums_and_related_activities,188996
713_Amusements_gambling_and_recreation_industries,150776
721_Accommodation,283389
722_Food_services_and_drinking_places,816253
81_Other_services_except_government,695741
GFE_Federal_government_enterprises,91422
GFGD_Federal_general_government_defense,626891
GFGN_Federal_general_government_nondefense,407860
GSLE_State_and_local_government_enterprises,344402
GSLG_State_and_local_general_government,2274258
HS_Housing,2048746
ORE_Other_real_estate,1228119
