industry,T008_Total_Industry_Output
111CA_Farms,30576
113FF_Forestry_fishing_and_related_activities,1587
211_Oil_and_gas_extraction,3737
212_Mining_except_oil_and_gas,5565
213_Support_activities_for_mining,1520
22_Utilities,6005
23_Construction,21209
311FT_Food_and_beverage_and_tobacco_products,45594
313TT_Textile_mills_and_textile_product_mills,13269
315AL_Apparel_and_leather_and_allied_products,14622
321_Wood_products,5288
322_Paper_products,7102
323_Printing_and_related_support_activities,2718
324_Petroleum_and_coal_products,8131
325_Chemical_products,9989
326_Plastics_and_rubber_products,2683
327_Nonmetallic_mineral_products,3715
331_Primary_metals,14288
332_Fabricated_metal_products,11805
333_Machinery,10053
334_Computer_and_electronic_products,3801
335_Electrical_equipment_appliances_and_components,5048
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,14913
3364OT_Other_transportation_equipment,4293
337_Furniture_and_related_products,2553
339_Miscellaneous_manufacturing,5179
42_Wholesale_trade,19601
44RT_Retail_trade,37140
48_Transportation,23113
493_Warehousing_and_storage,595
51_Information,11433
52_Finance_and_insurance,11179
531_Real_estate,23118
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1967
54_Professional_scientific_and_technical_services,5619
55_Management_of_companies_and_enterprises,5198
56_Administrative_and_waste_management_services,2046
61_Educational_services,1430
62_Health_care_and_social_assistance,5713
71_Arts_entertainment_and_recreation,3075
721_Accommodation,2521
722_Food_services_and_drinking_places,11806
81_Other_services_except_government,11178
GFE_Federal_government_enterprises,1771
GFG_Federal_general_government,24014
GSLE_State_and_local_government_enterprises,1579
GSLG_State_and_local_general_government,12551
